2023 SOL/USDT VOLATILITY SPIKES (Z > 3.0)
================================================================================

1. 2023-07-14 10:00 | Z=15.64σ | +12.84% UP
2. 2023-01-02 17:00 | Z=13.29σ | +11.01% UP
3. 2023-06-10 14:00 | Z=12.71σ | -10.56% DOWN
4. 2023-01-14 10:00 | Z=11.23σ | +9.40% UP
5. 2023-10-24 08:00 | Z=9.42σ | +8.00% UP
6. 2023-11-02 03:00 | Z=9.18σ | +7.81% UP
7. 2023-07-14 01:00 | Z=9.10σ | +7.75% UP
8. 2023-06-06 01:00 | Z=8.58σ | -7.35% DOWN
9. 2023-08-30 00:00 | Z=8.26σ | +7.10% UP
10. 2023-04-27 05:00 | Z=8.20σ | -7.05% DOWN
11. 2023-01-04 01:00 | Z=7.73σ | +6.68% UP
12. 2023-01-14 12:00 | Z=7.63σ | +6.61% UP
13. 2023-01-14 15:00 | Z=7.48σ | +6.49% UP
14. 2023-08-18 07:00 | Z=7.45σ | -6.47% DOWN
15. 2023-06-30 23:00 | Z=7.40σ | -6.42% DOWN
16. 2023-03-14 22:00 | Z=7.38σ | +6.41% UP
17. 2023-04-19 18:00 | Z=7.21σ | -6.28% DOWN
18. 2023-01-14 07:00 | Z=7.20σ | +6.27% UP
19. 2023-06-15 06:00 | Z=6.89σ | -6.03% DOWN
20. 2023-10-02 08:00 | Z=6.85σ | +6.00% UP
21. 2023-10-01 20:00 | Z=6.80σ | +5.96% UP
22. 2023-03-03 11:00 | Z=6.79σ | -5.95% DOWN
23. 2023-12-24 08:00 | Z=6.71σ | +5.89% UP
24. 2023-06-11 03:00 | Z=6.68σ | +5.86% UP
25. 2023-01-19 01:00 | Z=6.64σ | -5.83% DOWN
26. 2023-11-15 21:00 | Z=6.45σ | +5.69% UP
27. 2023-11-11 23:00 | Z=6.42σ | +5.67% UP
28. 2023-03-23 05:00 | Z=6.33σ | -5.59% DOWN
29. 2023-03-14 00:00 | Z=6.24σ | +5.52% UP
30. 2023-01-09 09:00 | Z=6.08σ | +5.40% UP
31. 2023-04-11 14:00 | Z=5.97σ | +5.31% UP
32. 2023-11-03 01:00 | Z=5.90σ | -5.25% DOWN
33. 2023-03-10 06:00 | Z=5.74σ | -5.13% DOWN
34. 2023-07-14 02:00 | Z=5.71σ | +5.11% UP
35. 2023-06-29 19:00 | Z=5.65σ | +5.06% UP
36. 2023-11-11 08:00 | Z=5.63σ | +5.05% UP
