title,date,sentiment,price_at_news,price_5s,pct_change,high_pct,low_pct,max_abs_move,direction
Jobs Report April 2025,2025-04-04,neutral,114.67,115.91,1.0813639138397093,1.0900845905642278,-0.026162030173542457,1.0900845905642278,UP
CPI Report July,2024-07-11,neutral,143.57,144.95,0.9612035940656094,0.9960298112419077,-0.013930486870503456,0.9960298112419077,UP
FOMC Meeting June,2024-06-12,neutral,159.61,158.2,-0.883403295532877,0.012530543199036282,-0.9773823695257203,0.9773823695257203,DOWN
Jobs Report July 2024,2024-07-05,neutral,131.44,130.56,-0.6695069993913538,0.09129640900791582,-0.8901399878271359,0.8901399878271359,DOWN
CPI Report March 2025,2025-03-12,neutral,128.32,129.25,0.7247506234414018,0.8416458852867928,-0.09351620947631278,0.8416458852867928,UP
Jobs Report March 2025,2025-03-07,neutral,142.96,144.14,0.8254057078903038,0.8254057078903038,-0.06295467263570469,0.8254057078903038,UP
CPI Report February 2025,2025-02-12,neutral,198.32,196.8,-0.7664380798709065,0.04033884630900187,-0.7664380798709065,0.7664380798709065,DOWN
CPI Cooling - Rate Cut Hopes,2024-06-12,bullish,153.17,154.2,0.6724554416661234,0.6724554416661234,-0.1958608082522576,0.6724554416661234,UP
Jobs Report February 2025,2025-02-07,neutral,197.46,198.68,0.6178466524865789,0.668489820723181,0.0,0.668489820723181,UP
FOMC Meeting March 2025,2025-03-19,neutral,129.75,130.6,0.6551059730250438,0.6551059730250438,-0.08477842003854616,0.6551059730250438,UP
CPI Report April 2025,2025-04-10,neutral,114.89,115.34,0.39167899730176936,0.6353903734006475,-0.03481591087127361,0.6353903734006475,UP
CPI Report January 2025,2025-01-15,neutral,187.5,188.69,0.6346666666666654,0.6346666666666654,-0.04800000000000182,0.6346666666666654,UP
CPI Report September,2024-09-11,neutral,132.19,131.97,-0.16642711248959746,0.007564868749520316,-0.5976246312126424,0.5976246312126424,DOWN
CPI Report May,2024-05-15,neutral,144.94,145.78,0.5795501586863553,0.5933489719884184,-0.32427211259831573,0.5933489719884184,UP
CPI Report June 2025,2025-06-11,neutral,164.14,165.03,0.5422200560497227,0.5787742171317273,-0.05483124162298952,0.5787742171317273,UP
Jobs Report May 2024,2024-05-03,neutral,137.1,137.85,0.5470459518599562,0.5470459518599562,-0.014587892049585565,0.5470459518599562,UP
CPI Report September 2025,2025-09-10,neutral,220.74,221.74,0.45302165443508197,0.48473317024553464,0.0,0.48473317024553464,UP
Jobs Report August 2025,2025-08-01,neutral,169.16,168.59,-0.33695909198391655,0.0,-0.4670134783636747,0.4670134783636747,DOWN
Jobs Report May 2025,2025-05-02,neutral,149.98,150.45,0.31337511668222356,0.4467262301640325,0.0,0.4467262301640325,UP
Jobs Report June 2025,2025-06-06,neutral,150.6,151.26,0.438247011952189,0.4448871181939017,-0.11952191235060214,0.4448871181939017,UP
CPI Report May 2025,2025-05-13,neutral,173.51,173.57,0.03458013947323052,0.4437784565731141,-0.305457898680192,0.4437784565731141,UP
Fed Cuts Rates 50bps,2024-09-18,bullish,128.87,129.41,0.41902692635989136,0.4345464421510067,-0.007759757895546601,0.4345464421510067,UP
CPI Report April,2024-04-10,neutral,168.23,167.51,-0.4279854960470777,0.04160970100458991,-0.4279854960470777,0.4279854960470777,DOWN
Jobs Report July 2025,2025-07-03,neutral,154.62,155.17,0.35571077480273117,0.41391799249772754,-0.006467468632771249,0.41391799249772754,UP
CPI Report October,2024-10-10,neutral,140.75,140.23,-0.3694493783303803,0.05683836589698935,-0.4120781527531172,0.4120781527531172,DOWN
CPI Report January,2024-01-11,neutral,105.72,105.63,-0.08513053348467974,0.01891789632992435,-0.4067347710934474,0.4067347710934474,DOWN
Jobs Report September 2025,2025-09-05,neutral,207.96,208.75,0.379880746297361,0.4039238315060605,-0.024043085208699445,0.4039238315060605,UP
Jobs Report August 2024,2024-08-02,neutral,163.52,164.15,0.38527397260273694,0.39138943248531455,0.0,0.39138943248531455,UP
Jobs Report September 2024,2024-09-06,neutral,129.62,130.05,0.3317389291776013,0.3625983644499297,-0.01542971763617515,0.3625983644499297,UP
Jobs Report January 2025,2025-01-10,neutral,190.33,189.93,-0.21016129879682954,0.17863710397728944,-0.36252824042453957,0.36252824042453957,DOWN
CPI Report August,2024-08-14,neutral,149.47,149.25,-0.14718672643339725,0.02007091724091867,-0.35458620458955054,0.35458620458955054,DOWN
Jobs Report Miss,2024-10-04,bearish,140.57,140.97,0.28455573735505846,0.34146688482607823,0.0,0.34146688482607823,UP
Fed December Rate Cut,2024-12-18,bullish,217.93,217.45,-0.22025421006746118,0.0,-0.3028495388427461,0.3028495388427461,DOWN
FOMC Meeting September 2025,2025-09-17,neutral,232.86,232.94,0.03435540668211976,0.27913767929226885,-0.2705488276217572,0.27913767929226885,UP
FOMC Meeting January 2025,2025-01-29,neutral,230.74,230.13,-0.26436681979718024,0.10401317500215855,-0.2687007020889332,0.2687007020889332,DOWN
Jobs Report April 2024,2024-04-05,neutral,171.5,171.07,-0.2507288629737649,0.00583090379008216,-0.2507288629737649,0.2507288629737649,DOWN
Bitcoin Spot ETF Approved by SEC,2024-01-10,bullish,97.55,97.32,-0.23577652485905076,0.02050230650947824,-0.23577652485905076,0.23577652485905076,DOWN
FOMC Meeting March,2024-03-20,neutral,172.08,172.48,0.23245002324498912,0.23245002324498912,-0.005811250581136289,0.23245002324498912,UP
FOMC Meeting May 2025,2025-05-07,neutral,145.61,145.73,0.08241192225807027,0.19916214545703728,-0.013735320376354805,0.19916214545703728,UP
FOMC Meeting June 2025,2025-06-18,neutral,145.58,145.74,0.10990520675916787,0.17859596098364533,-0.04121445253469039,0.17859596098364533,UP
CPI Report March,2024-03-12,neutral,148.84,148.6,-0.16124697661919452,0.0,-0.16124697661919452,0.16124697661919452,DOWN
CPI Report - Hotter Than Expected,2024-02-13,bearish,113.16,113.1,-0.05302226935313033,0.017674089784385148,-0.15906680805937842,0.15906680805937842,DOWN
Jobs Report February,2024-02-02,neutral,101.64,101.51,-0.12790240062966887,0.0,-0.1574183392365177,0.1574183392365177,DOWN
Jobs Report December 2024,2024-12-06,neutral,232.27,232.42,0.06458001463812686,0.06888534894734429,-0.15499203513153384,0.15499203513153384,UP
FOMC Meeting July,2024-07-31,neutral,181.99,181.74,-0.13737018517500962,0.04395845925599433,-0.1538546073960114,0.1538546073960114,DOWN
CPI Report November,2024-11-13,neutral,208.17,208.49,0.1537205168852484,0.1537205168852484,-0.024018830763310253,0.1537205168852484,UP
Jobs Report June 2024,2024-06-07,neutral,172.66,172.62,-0.023166917641603176,0.11004285879763567,-0.023166917641603176,0.11004285879763567,DOWN
CPI Report December,2024-12-11,neutral,225.54,225.78,0.10641127959564117,0.10641127959564117,-0.053205639797820586,0.10641127959564117,UP
Trump Inauguration,2025-01-20,bullish,256.47,256.7,0.08967910476857384,0.09357819628024806,-0.02339454907006756,0.09357819628024806,UP
Jobs Report November 2024,2024-11-01,neutral,168.12,168.25,0.07732571972400396,0.08922198429693415,-0.029740661432317014,0.08922198429693415,UP
Bitcoin ETF Trading Begins,2024-01-11,bullish,105.48,105.45,-0.0284414106939715,0.0284414106939715,-0.08532423208191449,0.08532423208191449,DOWN
Jobs Report March,2024-03-08,neutral,148.05,147.93,-0.08105369807497774,0.0,-0.08105369807497774,0.08105369807497774,DOWN
Nikkei 225 Crashes 12%,2024-08-05,bearish,138.32,138.21,-0.07952573742046358,0.007229612492784361,-0.07952573742046358,0.07952573742046358,DOWN
Jobs Report November 2025,2025-11-07,neutral,151.88,151.8,-0.05267316302342907,0.0065841453779239565,-0.07900974453516234,0.07900974453516234,DOWN
GameStop Meme Stock Rally,2024-05-13,bullish,146.75,146.64,-0.07495741056218988,0.006814310051101127,-0.07495741056218988,0.07495741056218988,DOWN
Ethereum ETF Trading Begins,2024-07-23,bullish,176.13,176.26,0.07380911826491537,0.07380911826491537,-0.028388122409574147,0.07380911826491537,UP
FOMC Meeting May,2024-05-01,neutral,126.87,126.94,0.055174588161104425,0.07093875620713265,-0.039410420115087386,0.07093875620713265,UP
FOMC Minutes Release,2024-02-21,neutral,101.11,101.18,0.06923153001682068,0.06923153001682068,-0.00989021857383554,0.06923153001682068,UP
Powell Jackson Hole Speech,2024-08-23,bullish,144.66,144.74,0.05530208765381758,0.0622148486105374,0.0,0.0622148486105374,UP
Roaring Kitty Returns to Twitter,2024-05-12,bullish,145.41,145.33,-0.05501684890996774,0.00687710611374108,-0.05501684890996774,0.05501684890996774,DOWN
Binance Announces BOME Listing,2024-03-16,bullish,194.32,194.34,0.010292301358589044,0.04116920543434155,-0.05146150679291597,0.05146150679291597,UP
FOMC Meeting July 2025,2025-07-30,neutral,179.3,179.39,0.050195203569422746,0.050195203569422746,-0.016731734523146198,0.050195203569422746,UP
FOMC Meeting December 2025,2025-12-17,neutral,122.14,122.08,-0.049123956115934404,0.008187326019326278,-0.049123956115934404,0.049123956115934404,DOWN
FOMC Meeting November 2025,2025-11-06,neutral,157.42,157.36,-0.03811459789097564,0.04446703087283802,-0.03811459789097564,0.04446703087283802,DOWN
CPI Report December 2025,2025-12-10,neutral,138.02,137.97,-0.03622663382119357,0.0289813070569425,-0.043471960585424047,0.043471960585424047,DOWN
SEC Twitter Hack - Fake Bitcoin ETF Approval,2024-01-09,bullish,98.3,98.34,0.040691759918622845,0.040691759918622845,0.0,0.040691759918622845,UP
CPI Report August 2025,2025-08-13,neutral,202.02,201.95,-0.03465003465004534,0.004950004950000447,-0.03960003960004579,0.03960003960004579,DOWN
SEC Closes Ethereum Investigation,2025-04-09,bullish,107.07,107.04,-0.028019052955997874,0.02801905295601115,-0.03735873727467268,0.03735873727467268,DOWN
FOMC Meeting November,2024-11-07,neutral,196.87,196.8,-0.035556458576722294,0.005079494082384775,-0.035556458576722294,0.035556458576722294,DOWN
Bitcoin Halving,2024-04-20,bullish,142.63,142.59,-0.028044590899524675,0.0,-0.028044590899524675,0.028044590899524675,DOWN
Trump Election Called,2024-11-06,bullish,184.81,184.81,0.0,0.021643850440989147,-0.005410962610243442,0.021643850440989147,DOWN
CPI Report November 2025,2025-11-12,neutral,159.93,159.92,-0.006252735571824752,0.012505471143613962,-0.018758206715438715,0.018758206715438715,DOWN
Jobs Report October 2025,2025-10-03,neutral,229.82,229.78,-0.017404925593939625,0.008702462796975997,-0.017404925593939625,0.017404925593939625,DOWN
Ethereum ETF Approved,2024-05-23,bullish,172.51,172.52,0.005796765404915267,0.017390296214712848,-0.005796765404898792,0.017390296214712848,UP
BOME Whale Accumulation Detected,2024-03-11,bullish,142.54,142.53,-0.007015574575551358,0.0,-0.014031149151102717,0.014031149151102717,DOWN
CPI Report October 2025,2025-10-10,neutral,221.5,221.47,-0.013544018058691258,0.004514672686226143,-0.013544018058691258,0.013544018058691258,DOWN
CPI Report July 2025,2025-07-11,neutral,163.42,163.42,0.0,0.006119202056063719,-0.012238404112092652,0.012238404112092652,DOWN
Bank of Japan Rate Hike,2024-07-31,bearish,180.38,180.36,-0.011087703736546075,0.0,-0.011087703736546075,0.011087703736546075,DOWN
Powell Dovish Testimony,2024-07-09,bullish,140.66,140.66,0.0,0.007109341674954433,-0.007109341674954433,0.007109341674954433,DOWN
Trump Announces U.S. Crypto Reserve,2025-03-02,bullish,142.65,142.65,0.0,0.0,-0.007010164738884911,0.007010164738884911,DOWN
