rowid,title,news_time,impulse_time,lag_seconds,sentiment,impact_1min,vol_spike,price_change
89,SEC Twitter Hack - Fake Bitcoin ETF Approval,2024-01-09T21:11:00+00:00,2024-01-09T21:11:35+00:00,35.0,bullish,1.515768056968473,4.491161428710384,0.06098800569221963
90,Bitcoin Spot ETF Approved by SEC,2024-01-10T21:30:00+00:00,2024-01-10T21:30:01+00:00,1.0,bullish,-0.5945668887749855,4.260908803989744,0.07175807278317903
92,CPI Report January,2024-01-11T13:30:00+00:00,2024-01-11T13:30:03+00:00,3.0,neutral,-0.16080211880439055,13.557090969038832,0.085219202727016
91,Bitcoin ETF Trading Begins,2024-01-11T14:30:00+00:00,2024-01-11T14:30:42+00:00,42.0,bullish,-0.5783086841107313,9.045141581118381,0.07600950118764604
93,Jobs Report February,2024-02-02T13:30:00+00:00,2024-02-02T13:30:01+00:00,1.0,neutral,-0.5706414797323872,38.51068724753217,0.15741833923651471
94,CPI Report - Hotter Than Expected,2024-02-13T13:30:00+00:00,2024-02-13T13:30:01+00:00,1.0,bearish,-0.3181336161187694,10.94827565452904,0.09720749381406657
95,FOMC Minutes Release,2024-02-21T19:00:00+00:00,2024-02-21T19:00:10+00:00,10.0,neutral,-0.30659677578874717,24.727623396048177,0.08894159501927623
96,Jobs Report March,2024-03-08T13:30:00+00:00,2024-03-08T13:30:01+00:00,1.0,neutral,0.1553529213103612,3.452036465082443,0.03377237419791568
97,BOME Whale Accumulation Detected,2024-03-11T06:58:00+00:00,2024-03-11T06:58:11+00:00,11.0,bullish,0.1683737898133921,15.546531232001676,0.0771659066993946
98,CPI Report March,2024-03-12T12:30:00+00:00,2024-03-12T12:30:01+00:00,1.0,neutral,0.7927976350443474,11.845510444918324,0.11421660843859982
99,Binance Announces BOME Listing,2024-03-16T10:00:00+00:00,2024-03-16T10:00:00+00:00,0.0,bullish,0.03087690407575251,29.282849876574165,0.05148800329521919
100,FOMC Meeting March,2024-03-20T18:00:00+00:00,2024-03-20T18:00:06+00:00,6.0,neutral,0.9123663412366302,3.3271366267768396,0.011595547309828369
155,Jobs Report April 2024,2024-04-05T12:30:00+00:00,2024-04-05T12:30:01+00:00,1.0,neutral,-1.0029154518950432,15.915696134442822,0.15743440233236816
101,CPI Report April,2024-04-10T12:30:00+00:00,2024-04-10T12:30:01+00:00,1.0,neutral,-1.4206740771562663,12.500009097691008,0.2556024490281028
102,Bitcoin Halving,2024-04-20T00:09:00+00:00,2024-04-20T00:09:28+00:00,28.0,bullish,-0.02103344317464849,3.8268922718677114,0.021055586749008093
103,FOMC Meeting May,2024-05-01T18:00:00+00:00,2024-05-01T18:00:00+00:00,0.0,neutral,0.07882084023015237,4.3859626905776485,0.015766653527804486
156,Jobs Report May 2024,2024-05-03T12:30:00+00:00,2024-05-03T12:30:00+00:00,0.0,neutral,1.1816192560175087,3.7168862105374916,0.08745080891998658
104,Roaring Kitty Returns to Twitter,2024-05-12T00:00:00+00:00,2024-05-12T00:00:01+00:00,1.0,bullish,-0.12378791004745673,13.28164496830177,0.006877106113745146
105,GameStop Meme Stock Rally,2024-05-13T14:30:00+00:00,2024-05-13T14:30:03+00:00,3.0,bullish,-0.3066439522998219,6.398616360765597,0.027255382938129458
106,CPI Report May,2024-05-15T12:30:00+00:00,2024-05-15T12:30:00+00:00,0.0,neutral,2.435490547812889,23.09153895509585,0.3392177223952908
107,Ethereum ETF Approved,2024-05-23T20:58:00+00:00,2024-05-23T20:58:02+00:00,2.0,bullish,0.011593530809814059,3.8971025720107146,0.023188405797092138
157,Jobs Report June 2024,2024-06-07T12:30:00+00:00,2024-06-07T12:30:01+00:00,1.0,neutral,-0.7123827174794335,13.152776529173188,0.06370902351442442
108,CPI Cooling - Rate Cut Hopes,2024-06-12T12:30:00+00:00,2024-06-12T12:30:00+00:00,0.0,bullish,2.533133120062691,20.955438681604008,0.19624517563943122
109,FOMC Meeting June,2024-06-12T18:00:00+00:00,2024-06-12T18:00:01+00:00,1.0,neutral,-1.585113714679532,41.903189090230775,0.38218156757096056
158,Jobs Report July 2024,2024-07-05T12:30:00+00:00,2024-07-05T12:30:01+00:00,1.0,neutral,0.9966524650030448,15.170187600257185,0.11412051125989642
110,Powell Dovish Testimony,2024-07-09T14:00:00+00:00,2024-07-09T14:00:02+00:00,2.0,bullish,0.1635148585240934,7.380834739272004,0.007109847138275782
111,CPI Report July,2024-07-11T12:30:00+00:00,2024-07-11T12:30:01+00:00,1.0,neutral,1.6159364769798659,8.627078410970894,0.4388103364212581
112,Ethereum ETF Trading Begins,2024-07-23T14:30:00+00:00,2024-07-23T14:30:05+00:00,5.0,bullish,-0.005677624481911603,4.49496174364307,0.02837523409566778
113,Bank of Japan Rate Hike,2024-07-31T03:00:00+00:00,2024-07-31T03:00:05+00:00,5.0,bearish,0.0055438518682730375,5.84625203648029,0.005544159228243473
114,FOMC Meeting July,2024-07-31T18:00:00+00:00,2024-07-31T18:00:00+00:00,0.0,neutral,-0.47255343700204056,3.794465346501568,0.03297971747375783
159,Jobs Report August 2024,2024-08-02T12:30:00+00:00,2024-08-02T12:30:01+00:00,1.0,neutral,0.18957925636007966,12.429810250283,0.09784735812132794
115,Nikkei 225 Crashes 12%,2024-08-05T00:00:00+00:00,2024-08-05T00:00:01+00:00,1.0,bearish,0.26749566223250765,10.436801336515755,0.014459224985530206
116,CPI Report August,2024-08-14T12:30:00+00:00,2024-08-14T12:30:00+00:00,0.0,neutral,-0.7961463838897422,4.407545208238006,0.08034817542685868
117,Powell Jackson Hole Speech,2024-08-23T14:00:00+00:00,2024-08-23T14:00:00+00:00,0.0,bullish,0.1659062629614331,6.7207720130687,0.0
160,Jobs Report September 2024,2024-09-06T12:30:00+00:00,2024-09-06T12:30:00+00:00,0.0,neutral,1.7821323869773202,11.709871625831981,0.1848144155244147
118,CPI Report September,2024-09-11T12:30:00+00:00,2024-09-11T12:30:01+00:00,1.0,neutral,-0.4085029124744626,36.72746442097391,0.4841515999697288
119,Fed Cuts Rates 50bps,2024-09-18T18:00:00+00:00,2024-09-18T18:00:00+00:00,0.0,bullish,1.544191821215185,33.014749812009086,0.25541795665633416
