,ts,open,high,low,close,vol,datetime,move_pct,abs_move
1455,1740927600000,140.76,163.39,140.48,157.46,3104844.918,2025-03-02 15:00:00,0.11864165956237581,0.11864165956237581
2369,1744218000000,108.29,119.8,107.26,119.37,2283809.489,2025-04-09 17:00:00,0.10231785021700986,0.10231785021700986
1456,1740931200000,157.47,179.85,157.47,172.13,4005168.677,2025-03-02 16:00:00,0.0930970978599098,0.0930970978599098
453,1737320400000,277.64,278.43,252.27,255.2,2123169.616,2025-01-19 21:00:00,-0.08082408874801901,0.08082408874801901
436,1737259200000,255.6,275.0,254.17,273.69,1863463.803,2025-01-19 04:00:00,0.07077464788732396,0.07077464788732396
793,1738544400000,198.34,199.99,178.0,184.93,1546331.318,2025-02-03 01:00:00,-0.0676111727336896,0.0676111727336896
1318,1740434400000,150.1,150.13,138.0,140.26,1292763.612,2025-02-24 22:00:00,-0.06555629580279816,0.06555629580279816
456,1737331200000,252.4,252.76,235.31,236.06,1929464.794,2025-01-20 00:00:00,-0.06473851030110936,0.06473851030110936
1478,1741010400000,165.82,165.82,154.07,155.13,1126875.871,2025-03-03 14:00:00,-0.06446749487395971,0.06446749487395971
5606,1755871200000,180.25,193.28,180.22,191.7,1982842.813,2025-08-22 14:00:00,0.06352288488210812,0.06352288488210812
371,1737025200000,200.42,212.98,199.75,212.78,737073.602,2025-01-16 11:00:00,0.06167049196686965,0.06167049196686965
423,1737212400000,242.85,260.0,240.84,257.75,1547206.257,2025-01-18 15:00:00,0.061354745727815546,0.061354745727815546
424,1737216000000,257.75,270.67,242.51,242.65,3019664.954,2025-01-18 16:00:00,-0.058583899127061086,0.058583899127061086
7359,1762182000000,176.44,176.75,165.0,166.79,1906040.979,2025-11-03 15:00:00,-0.054692813420993004,0.054692813420993004
462,1737352800000,244.78,259.99,242.47,257.84,937398.298,2025-01-20 06:00:00,0.053354032192172454,0.053354032192172454
2206,1743631200000,125.36,125.36,118.2,118.68,816305.176,2025-04-02 22:00:00,-0.05328653477983402,0.05328653477983402
795,1738551600000,187.95,199.79,187.38,197.92,736731.203,2025-02-03 03:00:00,0.05304602287842511,0.05304602287842511
349,1736946000000,186.39,195.75,186.33,195.73,580127.031,2025-01-15 13:00:00,0.05010998444122541,0.05010998444122541
473,1737392400000,256.48,256.72,232.07,243.85,1613068.538,2025-01-20 17:00:00,-0.04924360573923902,0.04924360573923902
1560,1741305600000,143.3,145.57,135.04,136.51,1078918.623,2025-03-07 00:00:00,-0.04738311235170984,0.04738311235170984
1483,1741028400000,148.88,150.23,140.05,141.87,1237907.699,2025-03-03 19:00:00,-0.04708490059108,0.04708490059108
1406,1740751200000,137.85,147.18,137.7,144.34,1466412.682,2025-02-28 14:00:00,0.047080159593761405,0.047080159593761405
1470,1740981600000,169.8,169.8,160.58,161.81,613421.53,2025-03-03 06:00:00,-0.04705535924617202,0.04705535924617202
