,ts,open,high,low,close,vol,datetime,move_pct,abs_move
5221,1722862800000,111.83,123.63,110.03,122.6,1687023.265,2024-08-05 13:00:00,0.09630689439327547,0.09630689439327547
1555,1709665200000,131.1,132.87,105.0,119.24,1701554.48,2024-03-05 19:00:00,-0.09046529366895499,0.09046529366895499
2466,1712944800000,163.43,163.69,141.0,150.99,1247507.2,2024-04-12 18:00:00,-0.07611821574986231,0.07611821574986231
2493,1713042000000,124.4,134.5,123.03,133.42,1360453.79,2024-04-13 21:00:00,0.07250803858520885,0.07250803858520885
5232,1722902400000,129.79,138.98,129.4,138.94,660871.76,2024-08-06 00:00:00,0.0704984975730026,0.0704984975730026
2492,1713038400000,133.73,134.73,116.0,124.4,2957923.35,2024-04-13 20:00:00,-0.069767441860465,0.069767441860465
2491,1713034800000,143.55,144.04,130.0,133.73,905545.99,2024-04-13 19:00:00,-0.06840822013235821,0.06840822013235821
1914,1710957600000,172.07,184.58,172.07,183.83,867134.25,2024-03-20 18:00:00,0.06834427849131179,0.06834427849131179
2518,1713132000000,141.57,150.96,141.57,150.61,788453.54,2024-04-14 22:00:00,0.06385533658260946,0.06385533658260946
4057,1718672400000,141.53,142.05,127.95,132.64,1382382.971,2024-06-18 01:00:00,-0.0628135377658448,0.0628135377658448
7708,1731816000000,221.37,236.0,221.37,235.08,1509256.538,2024-11-17 04:00:00,0.06193251118037678,0.06193251118037678
4285,1719493200000,139.6,150.09,139.47,148.03,1627739.817,2024-06-27 13:00:00,0.06038681948424074,0.06038681948424074
5281,1723078800000,144.12,153.03,143.36,152.77,606972.249,2024-08-08 01:00:00,0.06001942825423262,0.06001942825423262
4544,1720425600000,132.6,140.66,132.35,140.55,635180.334,2024-07-08 08:00:00,0.05995475113122185,0.05995475113122185
1789,1710507600000,172.08,184.36,171.7,182.2,1148510.11,2024-03-15 13:00:00,0.058809855880985445,0.058809855880985445
1440,1709251200000,125.68,133.0,125.61,132.93,533824.23,2024-03-01 00:00:00,0.0576861871419478,0.0576861871419478
63,1704294000000,96.55,102.09,96.45,102.06,797137.4,2024-01-03 15:00:00,0.05706887622993273,0.05706887622993273
2494,1713045600000,133.43,143.46,129.6,141.01,1460729.39,2024-04-13 22:00:00,0.056808813610132534,0.056808813610132534
2922,1714586400000,126.85,135.97,126.42,133.96,971011.274,2024-05-01 18:00:00,0.056050453291289035,0.056050453291289035
5222,1722866400000,122.6,131.51,122.6,129.31,1597706.671,2024-08-05 14:00:00,0.05473083197389893,0.05473083197389893
1880,1710835200000,186.14,186.2,175.44,175.99,866826.67,2024-03-19 08:00:00,-0.054528849253250126,0.054528849253250126
237,1704920400000,96.53,102.0,95.35,101.68,1058272.84,2024-01-10 21:00:00,0.05335128975448053,0.05335128975448053
4441,1720054800000,141.41,141.61,132.21,134.16,651074.548,2024-07-04 01:00:00,-0.051269358602644796,0.051269358602644796
5150,1722607200000,166.07,166.38,157.2,157.61,512853.599,2024-08-02 14:00:00,-0.05094237369783814,0.05094237369783814
